,driverId,raceId,temp,Track Length (km),Turns,Direction,Circuit Type,grid,circuit_lap_count,avg_lap_time_last5,avg_position_last5,avg_stop_last5,avg_fastestRank_last5,avg_fastestLap_last5,stop
19,1,338,21.8,5.278,14,Clockwise,Street,11.0,58,122113.83673469388,3.0,1.0,,,2
37,1,339,29.9,5.543,15,Clockwise,Race,20.0,56,109733.03043631246,4.5,1.5,3.0,47.0,1
54,1,340,17.3,5.451,16,Clockwise,Race,6.0,56,106797.514338494,5.0,1.3333333333333333,3.5,39.5,4
72,1,341,15.1,4.657,14,Clockwise,Race,3.0,66,108686.05093244194,4.25,2.0,2.6666666666666665,30.666666666666668,1
94,1,342,16.2,3.337,19,Clockwise,Street,5.0,78,104384.06574595356,6.2,1.8,2.25,37.75,1
113,1,343,22.8,5.338,14,Anti clockwise,Race,2.0,58,96929.80609132248,6.6,1.8,3.8,43.8,1
135,1,344,18.9,4.361,13,Clockwise,Street,1.0,70,95830.46471201212,5.6,1.6,5.6,45.2,2
157,1,347,16.6,4.574,17,Clockwise,Race,6.0,67,91740.75685486927,4.6,1.8,5.2,51.2,1
179,1,348,22.9,4.381,14,Clockwise,Race,5.0,70,84648.81277171362,5.0,1.2,6.0,61.6,1
201,1,349,10.4,7.004,19,Clockwise,Race,2.0,44,85491.40516301796,6.2,1.2,8.6,54.2,2
244,1,351,28.7,4.94,19,Anti clockwise,Street,3.0,61,92815.02474343753,5.4,1.4,6.8,47.0,1
263,1,352,20.4,5.807,18,Clockwise,Race,8.0,53,98603.95558087598,9.0,1.4,6.4,42.4,1
281,1,353,17.6,5.615,18,Anti clockwise,Race,4.0,55,103138.24625473042,9.8,1.2,7.8,37.0,1
302,1,354,19.2,4.309,15,Anti clockwise,Race,4.0,71,124144.61819502893,9.4,1.2,7.4,32.4,2
326,1,355,26.9,5.281,16,Anti clockwise,Race,2.0,55,121659.58108541471,6.2,1.4,4.8,41.2,1
348,1,841,15.3,5.278,14,Clockwise,Street,2.0,58,119138.3592672329,6.4,1.2,4.8,44.2,2
369,1,842,27.1,5.543,15,Clockwise,Race,2.0,56,113573.3456711738,3.0,1.4,4.4,46.2,4
391,1,843,14.4,5.451,16,Clockwise,Race,3.0,56,114049.85571160505,3.6,2.0,3.6,50.0,3
415,1,844,11.2,5.338,14,Anti clockwise,Race,4.0,58,98044.47428303362,3.4,2.4,3.4,51.2,4
438,1,845,21.7,4.657,14,Clockwise,Race,3.0,66,101071.65951858487,3.4,2.8,4.0,47.6,4
462,1,846,18.6,3.337,19,Clockwise,Street,9.0,78,97312.66618525152,3.4,3.4,4.0,48.6,3
508,1,850,10.7,5.148,15,Clockwise,Race,2.0,60,98731.96088021174,4.2,3.6,3.4,51.2,3
530,1,851,16.5,4.381,14,Clockwise,Race,2.0,70,97126.6849278308,2.8,3.4,2.6,52.2,6
554,1,852,12.0,7.004,19,Clockwise,Race,2.0,44,94777.80635640222,3.4,4.0,2.6,54.8,1
576,1,853,23.6,5.793,11,Clockwise,Race,2.0,53,99616.0575058275,7.0,3.4,5.4,46.8,2
593,1,854,28.9,4.94,19,Anti clockwise,Street,4.0,61,99957.31142235124,7.4,3.0,5.4,46.8,5
616,1,855,16.9,5.807,18,Clockwise,Race,3.0,53,103597.16980822766,7.2,3.4,5.2,46.8,3
640,1,856,17.1,5.615,18,Anti clockwise,Race,1.0,55,104766.60364470564,8.0,3.4,6.8,44.8,2
664,1,857,22.6,5.125,16,Clockwise,Race,5.0,60,107768.87819016018,7.6,2.6,7.0,43.4,3
686,1,858,23.5,5.281,16,Anti clockwise,Race,2.0,55,102507.94485682684,4.6,3.0,5.2,53.4,2
707,1,859,20.9,4.309,15,Anti clockwise,Race,4.0,71,105361.63700090916,4.0,3.0,5.6,53.2,3
731,1,860,16.3,5.278,14,Clockwise,Street,1.0,58,97619.41540433042,7.4,2.6,7.0,49.4,2
750,1,861,28.7,5.543,15,Clockwise,Race,1.0,56,96444.1785793467,7.0,2.4,6.0,51.0,3
773,1,862,16.6,5.451,16,Clockwise,Race,7.0,56,110391.41474817786,7.2,2.6,6.6,50.2,3
797,1,863,24.9,5.412,15,Clockwise,Race,2.0,57,112754.6349862731,6.4,2.6,6.0,46.6,3
821,1,864,20.2,4.657,14,Clockwise,Race,24.0,66,111793.29961147245,7.8,2.8,6.8,44.0,2
844,1,865,17.5,3.337,19,Clockwise,Street,3.0,78,114145.84743755942,5.0,2.6,8.2,47.0,1
865,1,866,17.8,4.361,13,Clockwise,Street,2.0,70,110985.55760555234,5.4,2.4,8.2,44.8,2
887,1,869,15.9,4.574,17,Clockwise,Race,7.0,67,91461.50689126663,5.0,2.2,8.2,46.6,3
911,1,870,24.7,4.381,14,Clockwise,Race,1.0,69,87463.69617698091,9.2,2.2,10.8,45.4,2
955,1,872,22.7,5.793,11,Clockwise,Race,1.0,53,84799.3414859054,7.8,2.0,10.2,50.8,1
978,1,873,28.4,4.94,19,Anti clockwise,Street,1.0,59,84577.18488213183,6.4,1.8,7.6,51.2,1
1002,1,874,17.9,5.807,18,Clockwise,Race,9.0,53,91804.70073294768,10.2,1.8,10.6,44.8,2
1024,1,875,17.0,5.615,18,Anti clockwise,Race,3.0,55,96260.93695936275,11.0,1.8,11.6,42.0,3
1045,1,876,21.8,5.125,16,Clockwise,Race,3.0,60,100837.67319312898,8.2,1.8,9.6,45.0,1
1090,1,878,15.5,5.513,20,Anti clockwise,Race,2.0,56,101538.68174385364,8.8,1.6,9.8,43.6,1
1112,1,879,19.2,4.309,15,Anti clockwise,Race,1.0,71,104050.87049048436,8.8,1.6,9.8,44.2,2
1132,1,880,14.0,5.278,14,Clockwise,Street,3.0,58,97941.53042314429,8.0,1.8,6.2,49.0,3
1153,1,881,28.6,5.543,15,Clockwise,Race,4.0,56,96418.2514381085,8.0,2.0,5.0,49.0,4
1174,1,882,17.0,5.451,16,Clockwise,Race,1.0,56,96324.75806148512,6.6,2.2,5.2,45.6,3
1194,1,883,27.7,5.412,15,Clockwise,Race,9.0,57,98754.24925196132,6.4,2.6,5.4,44.0,3
1216,1,884,17.8,4.657,14,Clockwise,Race,2.0,66,98535.60482840243,7.2,3.0,6.6,42.6,4
1237,1,885,13.6,3.337,19,Clockwise,Street,2.0,78,99444.14699364458,5.6,3.4,9.0,45.6,1
1258,1,886,18.5,4.361,13,Clockwise,Street,2.0,70,101901.25539329092,5.4,3.0,8.6,51.8,2
1280,1,888,19.3,5.148,15,Clockwise,Race,1.0,60,96498.41967900521,5.4,2.6,7.2,59.2,3
1301,1,890,28.3,4.381,14,Clockwise,Race,1.0,70,96125.54515519566,5.8,2.6,6.8,60.6,3
1322,1,891,13.9,7.004,19,Clockwise,Race,1.0,44,93359.5002930403,5.0,2.6,5.2,64.8,2
1343,1,892,22.7,5.793,11,Clockwise,Race,12.0,53,97951.98910422911,3.2,2.2,4.0,62.0,2
1363,1,893,29.2,4.94,19,Anti clockwise,Street,5.0,61,94618.7144065997,4.2,2.4,3.6,57.0,2
1385,1,894,22.2,5.615,18,Anti clockwise,Race,2.0,55,102402.79801315707,4.6,2.4,3.8,55.0,2
1407,1,895,16.8,5.807,18,Clockwise,Race,3.0,53,104678.39013436918,4.6,2.2,4.0,54.2,1
1427,1,897,29.5,5.281,16,Anti clockwise,Race,4.0,55,109748.86156294061,8.4,1.8,7.4,41.0,2
1448,1,898,25.3,5.513,20,Anti clockwise,Race,5.0,56,108486.8997447588,9.2,1.8,8.0,42.6,1
1469,1,899,19.2,4.309,15,Anti clockwise,Race,5.0,71,111947.38451564829,8.2,1.6,8.8,42.4,3
1508,1,901,28.1,5.543,15,Clockwise,Race,1.0,56,104177.11076824584,9.0,1.8,10.0,40.8,3
1528,1,902,22.6,5.412,15,Clockwise,Race,2.0,57,103084.0610279861,8.2,2.0,9.2,40.8,2
1550,1,903,14.4,5.451,16,Clockwise,Race,1.0,54,101435.82744402619,4.4,2.2,5.6,50.0,2
1571,1,904,20.6,4.657,14,Clockwise,Race,1.0,66,100503.59770376646,3.2,2.2,4.0,49.0,2
1593,1,905,16.5,3.337,19,Clockwise,Street,2.0,78,97509.61956523832,2.6,2.4,3.6,49.8,1
1612,1,906,21.7,4.361,13,Clockwise,Street,2.0,70,98516.48150095518,1.2,2.0,2.2,46.4,2
1629,1,909,22.6,4.574,17,Clockwise,Race,20.0,67,94437.4675257999,4.4,1.8,3.8,40.6,3
1650,1,910,22.4,4.381,14,Clockwise,Race,22.0,70,90297.45846583656,4.8,2.0,3.6,41.4,2
1671,1,911,10.7,7.004,19,Clockwise,Race,2.0,44,88940.03703726514,5.2,2.0,4.0,40.2,3
1691,1,912,22.0,5.793,11,Clockwise,Race,1.0,53,94298.0426194023,8.8,2.2,5.4,36.0,1
1712,1,913,28.4,4.94,19,Anti clockwise,Street,1.0,60,95359.68969245502,8.6,2.2,5.0,35.0,3
1732,1,914,19.4,5.807,18,Clockwise,Race,2.0,44,101933.35128665794,5.4,2.4,3.4,38.0,3
1754,1,916,15.8,5.513,20,Anti clockwise,Race,2.0,56,115549.55691759416,5.0,2.4,3.4,35.2,2
1770,1,917,20.9,4.309,15,Anti clockwise,Race,2.0,71,117592.60334616558,4.6,2.4,3.4,37.8,3
1788,1,918,24.1,5.281,16,Anti clockwise,Race,2.0,55,109077.90920235535,1.2,2.4,1.6,43.6,2
1808,1,926,14.6,5.278,14,Clockwise,Street,1.0,58,112762.01397079446,1.2,2.6,2.2,47.6,1
1821,1,927,28.6,5.543,15,Clockwise,Race,1.0,56,107760.05477539217,1.2,2.2,2.2,49.8,3
1839,1,928,14.5,5.451,16,Clockwise,Race,1.0,56,98985.92750266488,1.4,2.2,2.4,51.0,2
1857,1,929,25.4,5.412,15,Clockwise,Race,1.0,57,98904.58107409347,1.4,2.2,1.8,47.4,2
1876,1,930,21.2,4.657,14,Clockwise,Race,2.0,66,103702.39451614932,1.2,2.0,2.6,42.6,3
1896,1,931,17.6,3.337,19,Clockwise,Street,1.0,78,100547.73754645234,1.4,2.2,2.0,43.6,2
1915,1,932,13.2,4.361,13,Clockwise,Street,1.0,70,98365.69545980336,1.8,2.4,2.4,42.0,1
1935,1,936,21.9,4.381,14,Clockwise,Race,1.0,69,92423.38831694622,1.6,2.0,2.6,45.8,6
1955,1,937,17.7,7.004,19,Clockwise,Race,1.0,43,89673.59577036236,2.6,2.8,3.0,53.2,2
1973,1,938,17.0,5.793,11,Clockwise,Race,1.0,53,93003.85052352434,2.6,2.8,2.4,52.4,1
1991,1,939,29.3,4.94,19,Anti clockwise,Street,5.0,61,92211.95744176333,2.4,2.4,2.4,51.2,1
2011,1,940,19.8,5.807,18,Clockwise,Race,2.0,53,100184.03789048127,5.4,2.2,4.6,47.6,2
2031,1,942,15.8,5.513,20,Anti clockwise,Race,2.0,56,104381.28182579126,5.4,2.4,4.2,41.4,2
2050,1,944,22.3,4.309,15,Anti clockwise,Race,2.0,71,109526.41365808938,4.4,1.6,4.0,37.4,3
2069,1,945,24.5,5.281,16,Anti clockwise,Race,2.0,55,101603.51166005466,4.6,1.8,3.8,40.8,2
2088,1,948,16.8,5.278,14,Clockwise,Street,1.0,57,105462.15989333084,4.8,2.0,3.8,40.0,2
2108,1,949,20.9,5.412,15,Clockwise,Race,1.0,57,103477.8342354361,1.6,2.2,1.8,44.8,3
2127,1,950,18.0,5.451,16,Clockwise,Race,22.0,56,103335.21761842186,2.0,2.4,2.0,46.8,5
2169,1,953,17.8,3.337,19,Clockwise,Street,3.0,78,101047.42476127899,3.2,3.0,3.6,43.6,1
2189,1,954,12.9,4.361,13,Clockwise,Street,1.0,70,104002.0818577037,3.0,2.6,3.6,47.6,1
2209,1,955,26.8,6.003,20,Anti clockwise,Street,10.0,51,98095.5914680933,2.8,2.4,3.8,52.4,1
2231,1,956,14.8,4.318,10,Clockwise,Race,1.0,71,97349.19188089001,3.4,2.2,3.4,51.2,4
2251,1,958,24.8,4.381,14,Clockwise,Race,2.0,70,92354.29071953591,3.0,2.4,3.2,56.0,2
2273,1,959,20.5,4.574,17,Clockwise,Race,2.0,67,88111.3300052502,1.8,1.8,1.8,63.4,3
2295,1,960,22.3,7.004,19,Clockwise,Race,21.0,44,85980.28098114,1.8,2.2,2.2,59.6,3
2312,1,961,24.6,5.793,11,Clockwise,Race,1.0,53,99086.47682529583,2.2,2.6,2.0,54.0,1
2334,1,962,28.2,4.94,19,Anti clockwise,Street,3.0,61,94609.9659854882,1.6,2.6,2.4,51.0,4
2354,1,963,29.2,5.543,15,Clockwise,Race,1.0,56,102608.19369271518,2.0,2.6,2.8,48.0,1
2374,1,964,16.8,5.807,18,Clockwise,Race,2.0,53,106042.15369271518,5.4,2.4,3.6,40.4,2
2396,1,965,20.0,5.513,20,Anti clockwise,Race,1.0,56,109447.8255034727,5.8,2.2,3.4,37.2,2
2417,1,967,17.5,4.309,15,Anti clockwise,Race,1.0,71,101771.56251645973,5.4,2.0,4.0,38.2,2
2437,1,968,24.5,5.281,16,Anti clockwise,Race,1.0,55,114770.04596052032,5.2,2.2,3.8,41.6,2
2457,1,969,22.6,5.278,14,Clockwise,Street,1.0,57,113356.66014829976,4.8,1.8,4.2,38.6,1
2473,1,970,12.6,5.451,16,Clockwise,Race,1.0,56,110453.96506058045,1.6,1.8,4.0,41.2,4
2492,1,971,27.4,5.412,15,Clockwise,Race,2.0,57,111711.79996624084,1.2,2.2,3.8,42.8,2
2510,1,973,20.1,4.657,14,Clockwise,Race,1.0,66,110456.32866298268,1.4,2.2,3.2,43.0,2
2528,1,974,21.5,3.337,19,Clockwise,Street,13.0,78,97304.94910685805,1.4,2.2,2.8,47.0,1
2547,1,975,24.4,4.361,13,Clockwise,Street,1.0,70,92062.74589007485,2.6,2.0,2.8,50.4,1
2564,1,976,25.1,6.003,20,Anti clockwise,Street,1.0,51,90260.163834937,2.4,2.0,1.8,54.4,4
2581,1,979,23.5,4.381,14,Clockwise,Race,4.0,70,98528.69030552523,3.2,2.0,2.0,54.8,1
2600,1,980,18.0,7.004,19,Clockwise,Race,1.0,44,95880.80589449767,3.6,1.8,2.8,58.8,2
2618,1,981,17.8,5.793,11,Clockwise,Race,1.0,53,101540.60286419463,3.6,1.8,3.0,53.0,1
2637,1,982,29.3,4.94,19,Anti clockwise,Street,5.0,58,102489.45932283034,2.4,1.8,2.4,52.2,4
2654,1,983,27.9,5.543,15,Clockwise,Race,1.0,56,112061.338534653,2.4,2.4,2.4,50.4,1
2672,1,984,20.9,5.807,18,Clockwise,Race,1.0,53,102213.89063549333,1.8,1.8,2.6,50.8,1
2689,1,985,22.2,5.513,20,Anti clockwise,Race,1.0,56,104888.00847915909,1.2,1.8,2.8,46.2,1
2708,1,986,17.9,4.304,17,Clockwise,Race,3.0,71,101894.96334928896,1.2,1.6,3.4,48.8,2
2726,1,987,20.6,4.309,15,Anti clockwise,Race,20.0,71,101464.68776977414,2.8,1.8,4.0,52.6,4
2743,1,988,24.2,5.281,16,Anti clockwise,Race,2.0,55,91404.8876726396,3.4,1.8,4.2,54.2,1
2763,1,989,15.8,5.278,14,Clockwise,Street,1.0,58,92643.36273757467,3.4,1.8,4.2,54.8,1
2780,1,990,26.4,5.412,15,Clockwise,Race,9.0,57,91373.46390868723,3.6,1.8,3.6,56.2,1
2799,1,991,15.4,5.451,16,Clockwise,Race,4.0,56,90660.85895881255,4.0,1.8,3.0,56.8,1
2819,1,992,15.3,6.003,20,Anti clockwise,Street,2.0,51,94535.80253024111,3.0,1.6,2.8,47.0,2
2836,1,993,15.8,4.657,14,Clockwise,Race,1.0,66,103475.12487213562,2.4,1.2,2.8,41.4,1
2852,1,994,22.7,3.337,19,Clockwise,Street,3.0,78,100264.2727509235,2.2,1.2,2.8,44.0,1
2872,1,995,12.8,4.361,13,Clockwise,Street,4.0,68,97594.80670317814,2.4,1.2,3.8,37.0,1
2890,1,997,17.0,4.318,10,Clockwise,Race,2.0,71,93881.83539254863,2.8,1.2,4.6,40.0,2
2907,1,999,20.2,4.574,17,Clockwise,Race,14.0,67,87320.07744323988,5.2,1.4,4.4,47.6,1
2926,1,1000,26.6,4.381,14,Clockwise,Race,1.0,70,79477.79462205169,5.2,1.2,4.2,53.8,1
2944,1,1001,11.5,7.004,19,Clockwise,Race,1.0,44,78789.74882118589,5.2,1.2,4.4,53.6,2
2960,1,1002,11.1,5.793,11,Clockwise,Race,3.0,53,85756.63728272435,5.0,1.4,3.4,55.2,1
2978,1,1003,28.8,4.94,19,Anti clockwise,Street,1.0,61,87484.67857018273,4.2,1.4,2.4,48.0,1
2997,1,1005,20.3,5.807,18,Clockwise,Race,1.0,53,95372.83880286386,1.2,1.2,2.2,47.6,1
3017,1,1006,17.7,5.513,20,Anti clockwise,Race,1.0,56,98568.63542353408,1.2,1.2,2.4,44.6,2
3035,1,1007,15.8,4.304,17,Clockwise,Race,3.0,71,102110.93328067695,1.6,1.4,1.8,40.0,2
3054,1,1008,22.3,4.309,15,Anti clockwise,Race,1.0,71,96134.03116800089,2.0,1.4,2.8,45.2,1
3073,1,1009,27.1,5.281,16,Anti clockwise,Race,1.0,55,93450.64737847126,2.0,1.4,4.0,53.2,1
3090,1,1010,20.1,5.278,14,Clockwise,Street,1.0,58,93323.35658860538,2.0,1.4,4.6,52.6,1
3109,1,1011,25.2,5.412,15,Clockwise,Race,3.0,57,91313.31019953577,2.2,1.4,4.6,53.8,2
3129,1,1012,14.8,5.451,16,Clockwise,Race,2.0,56,90959.69961056334,1.8,1.4,4.8,53.0,2
3149,1,1013,15.0,6.003,20,Anti clockwise,Street,2.0,51,93830.21600895368,1.2,1.4,4.2,52.6,1
3168,1,1014,17.2,4.657,14,Clockwise,Race,2.0,66,100725.8094914171,1.4,1.4,3.4,48.2,2
3188,1,1015,17.6,3.337,19,Clockwise,Street,1.0,78,96404.5507035383,1.4,1.6,2.6,48.4,1
3208,1,1016,20.4,4.361,13,Clockwise,Street,2.0,70,94571.1682101696,1.2,1.6,3.4,38.8,1
3227,1,1018,23.3,4.318,10,Clockwise,Race,4.0,71,89984.35808485633,1.2,1.4,3.8,44.0,1
3247,1,1019,15.2,5.891,18,Clockwise,Race,2.0,52,84175.92055970541,2.0,1.2,3.8,48.4,1
3266,1,1020,20.7,4.574,17,Clockwise,Race,1.0,64,81275.3790815757,1.8,1.2,3.4,49.2,6
3285,1,1021,19.8,4.381,14,Clockwise,Race,3.0,70,83508.98798309085,3.4,2.0,5.6,51.2,2
3305,1,1022,14.6,7.004,19,Clockwise,Race,3.0,44,83886.47875232162,3.4,2.2,4.8,61.4,1
3324,1,1023,6.9,5.793,11,Clockwise,Race,2.0,53,91457.69134972422,3.6,2.2,4.6,53.8,2
3344,1,1024,29.5,4.94,19,Anti clockwise,Street,2.0,61,94743.74572123631,3.2,2.4,3.8,50.2,1
3364,1,1025,17.4,5.848,18,Clockwise,Road,2.0,53,99357.53689399797,3.8,2.4,5.0,51.4,1
3383,1,1026,17.5,5.807,18,Clockwise,Race,4.0,52,100902.0865402244,2.2,1.4,2.8,48.8,2
3402,1,1027,17.4,4.304,17,Clockwise,Race,3.0,71,103530.96115560901,2.6,1.4,2.6,45.8,1
3421,1,1028,13.9,5.513,20,Anti clockwise,Race,5.0,56,97045.47556021847,2.4,1.4,2.8,54.2,1
3440,1,1029,18.8,4.309,15,Anti clockwise,Race,3.0,71,99973.04085671445,2.2,1.2,4.0,49.2,3
3460,1,1030,24.1,5.281,16,Anti clockwise,Race,1.0,55,92411.38359511204,2.8,1.6,3.2,46.8,1
3479,1,1032,15.2,4.318,10,Clockwise,Race,1.0,71,91737.51292615835,2.8,1.6,3.2,47.2,1
3497,1,1033,17.5,4.381,14,Clockwise,Race,1.0,70,86814.0022544357,2.4,1.4,3.6,51.8,3
3517,1,1034,16.9,5.891,18,Clockwise,Race,1.0,52,86943.67239528077,2.4,1.8,3.0,52.6,1
3534,1,1035,19.1,5.891,18,Clockwise,Race,2.0,52,87114.15288978626,2.2,1.8,2.2,56.4,2
3554,1,1036,26.2,4.657,14,Clockwise,Race,1.0,66,89773.04590170392,1.2,1.6,1.8,55.8,2
3574,1,1037,12.5,7.004,19,Clockwise,Race,1.0,44,85925.83681079483,1.2,1.8,2.0,57.8,1
3591,1,1038,13.7,5.793,11,Clockwise,Race,1.0,53,94872.82650349649,1.2,1.8,1.8,49.8,3
3610,1,1040,23.4,5.848,18,Clockwise,Road,1.0,53,102694.38989972291,2.4,1.8,1.8,42.6,1
3628,1,1041,7.4,5.148,15,Clockwise,Race,2.0,60,103751.92524079693,2.8,1.8,2.6,43.2,2
3647,1,1042,17.9,4.653,15,Clockwise,Race,1.0,66,104481.55293310464,2.6,1.8,2.8,46.2,1
3667,1,1044,11.7,5.338,14,Anti clockwise,Race,6.0,58,104152.91353916524,2.6,1.6,2.6,46.2,1
3687,1,1045,23.2,5.412,15,Clockwise,Race,1.0,57,102374.04473038782,2.6,1.6,3.4,51.8,3
3724,1,1047,22.3,5.281,16,Anti clockwise,Race,3.0,55,103279.05221135437,1.4,1.6,3.8,52.6,1
3743,1,1051,25.6,5.419,16,Clockwise,Race,1.0,57,103025.47176538526,1.4,1.6,3.4,50.4,2
3763,1,1052,21.4,5.412,15,Clockwise,Race,2.0,56,101644.11053731506,1.4,1.6,3.4,48.8,2
3782,1,1053,9.2,4.909,19,Anti clockwise,Race,1.0,63,105018.28986631939,1.4,1.8,4.0,45.0,4
3801,1,1054,16.3,4.653,15,Clockwise,Race,2.0,66,107266.01646730462,1.6,2.4,3.0,45.8,3
3820,1,1055,17.1,4.657,14,Clockwise,Race,1.0,66,99232.78983253588,1.6,2.4,3.2,47.6,2
3839,1,1056,18.0,3.337,19,Clockwise,Street,7.0,78,95048.5716507177,1.2,2.6,3.2,51.0,2
3857,1,1057,21.5,6.003,20,Anti clockwise,Street,2.0,51,92662.02954545454,2.4,2.6,3.0,54.8,3
3875,1,1058,20.2,4.318,10,Clockwise,Race,2.0,71,104440.0142093201,5.2,2.8,2.8,54.6,2
3894,1,1059,23.3,5.842,15,Clockwise,Race,2.0,53,95035.3920765233,5.2,2.4,2.8,56.8,1
3914,1,1060,18.2,4.318,10,Clockwise,Race,4.0,71,97655.58481523115,5.4,2.0,3.0,56.2,2
3933,1,1061,23.5,5.891,18,Clockwise,Race,2.0,52,95035.8831506985,6.0,2.0,2.6,56.4,2
3952,1,1062,22.6,4.381,14,Clockwise,Race,1.0,70,106958.6395609549,4.8,2.0,2.8,51.6,4
3968,1,1064,16.4,4.259,14,Clockwise,Race,2.0,72,96840.83703994649,2.2,2.2,2.6,52.8,3
3988,1,1065,14.9,5.793,11,Clockwise,Race,4.0,53,97900.81829972741,2.2,2.4,2.6,53.0,1
4006,1,1066,14.8,5.848,18,Clockwise,Road,4.0,53,95632.38131859533,5.2,2.4,4.4,44.8,2
4026,1,1067,17.5,5.338,14,Anti clockwise,Race,11.0,58,101851.79859204736,4.6,2.4,4.2,42.4,1
4045,1,1069,24.3,5.513,20,Anti clockwise,Race,2.0,56,93517.38930822774,5.4,2.2,5.8,43.8,2
4065,1,1070,15.3,4.304,17,Clockwise,Race,2.0,71,92407.16430822774,5.4,1.8,5.6,42.2,1
4083,1,1071,17.9,4.309,15,Anti clockwise,Race,10.0,71,94054.14924562993,5.4,1.4,6.2,41.0,4
4103,1,1072,26.4,6.174,27,Anti clockwise,Street,1.0,50,92129.93403436232,2.2,2.0,3.8,49.6,3
4122,1,1073,23.7,5.281,16,Anti clockwise,Race,2.0,58,101898.3267890793,2.2,2.2,3.6,50.4,1
4140,1,1074,21.6,5.412,15,Clockwise,Race,5.0,57,101600.69230632068,1.6,2.2,2.2,48.6,3
4160,1,1075,26.8,6.174,27,Anti clockwise,Street,15.0,50,101895.3701885262,1.8,2.4,3.0,51.0,1
4177,1,1076,20.8,5.278,14,Clockwise,Street,5.0,58,105708.21869556846,3.4,2.4,3.8,47.2,1
4195,1,1077,12.6,4.909,19,Anti clockwise,Race,14.0,63,108353.48838959467,4.0,1.8,4.8,48.2,1
4213,1,1078,27.7,5.412,19,Anti clockwise,Street,6.0,57,95934.51638959468,6.4,1.4,7.2,48.8,1
4232,1,1079,22.4,4.657,14,Clockwise,Race,6.0,66,97195.80199153055,7.2,1.4,8.0,51.2,3
4252,1,1080,21.9,3.337,19,Clockwise,Street,8.0,64,94486.62703140295,7.6,1.4,7.4,50.8,3
4271,1,1081,23.5,6.003,20,Anti clockwise,Street,7.0,51,95955.70365640295,7.2,1.8,7.6,51.6,2
4290,1,1082,16.0,4.361,13,Clockwise,Street,4.0,70,100118.8083893306,7.2,2.0,6.8,49.2,2
4308,1,1083,15.0,5.891,18,Clockwise,Race,5.0,52,98776.63124647347,5.2,2.2,5.0,53.0,3
4325,1,1084,16.2,4.318,10,Clockwise,Race,8.0,71,110659.89710342353,4.6,2.6,3.8,52.4,2
4345,1,1085,26.0,5.842,15,Clockwise,Race,4.0,53,107178.00529804581,4.2,2.4,4.4,54.8,1
4364,1,1086,19.1,4.381,14,Clockwise,Race,7.0,70,105601.24391832882,3.0,2.0,3.4,50.6,2
4402,1,1088,20.3,4.259,14,Clockwise,Race,4.0,72,100275.6218454997,2.6,2.0,3.0,54.2,3
4422,1,1089,13.6,5.793,11,Clockwise,Race,19.0,53,99891.26843280128,2.8,2.2,2.8,51.2,1
4440,1,1091,26.9,4.94,19,Anti clockwise,Street,3.0,59,86295.7621918724,3.2,1.8,3.2,49.4,1
4455,1,1092,16.8,5.807,18,Clockwise,Race,6.0,28,97004.67849647971,4.4,1.6,4.2,48.4,2
4473,1,1093,24.6,5.513,20,Anti clockwise,Race,3.0,56,103324.61353691098,5.0,1.8,4.8,44.6,2
4492,1,1094,19.5,4.304,17,Clockwise,Race,3.0,71,108145.01782262526,5.0,1.8,5.6,42.2,1
4512,1,1095,22.4,4.309,15,Anti clockwise,Race,2.0,71,108699.6680964907,4.6,1.4,6.0,37.8,2
4530,1,1096,28.2,5.281,16,Anti clockwise,Race,5.0,58,107125.92948368176,4.0,1.6,5.8,41.8,1
4550,1,1098,24.1,5.412,15,Clockwise,Race,7.0,57,100424.28498445216,5.8,1.6,6.0,38.6,2
4569,1,1099,25.4,6.174,27,Anti clockwise,Street,7.0,50,93635.95841803613,5.8,1.6,6.6,43.6,1
4589,1,1100,13.1,5.278,14,Clockwise,Street,3.0,58,91342.97298946469,6.4,1.4,6.8,44.0,3
4607,1,1101,19.2,6.003,20,Anti clockwise,Street,5.0,51,106214.56016770657,6.4,1.8,6.8,47.4,1
4626,1,1102,26.1,5.412,19,Anti clockwise,Street,13.0,57,111545.40954633124,7.2,1.6,7.8,44.4,1
4646,1,1104,20.8,3.337,19,Clockwise,Street,5.0,78,111786.15538365181,4.8,1.6,6.4,47.4,2
4666,1,1105,20.8,4.657,14,Clockwise,Race,4.0,66,108678.09330537923,4.6,1.6,4.6,46.8,2
4686,1,1106,15.4,4.361,13,Clockwise,Street,3.0,70,105121.0148811368,4.0,1.8,4.0,49.8,2
4705,1,1107,17.5,4.318,10,Clockwise,Race,5.0,71,89689.85369887078,4.2,1.6,3.4,49.4,3
4725,1,1108,18.5,5.891,18,Clockwise,Race,7.0,52,82266.69446109116,4.6,2.0,3.8,49.4,1
4743,1,1109,23.3,4.381,14,Clockwise,Race,1.0,70,83343.52421817619,4.0,2.0,3.6,46.6,2
4761,1,1110,14.0,7.004,19,Clockwise,Race,3.0,44,83431.17857715054,4.0,2.0,3.8,50.8,3
4780,1,1111,15.9,4.259,14,Clockwise,Race,13.0,72,90092.24372866571,4.4,2.2,3.4,47.2,5
4799,1,1112,17.5,5.793,11,Clockwise,Race,8.0,51,97991.14245882443,5.0,2.8,3.6,49.4,1
4818,1,1113,29.0,4.94,19,Anti clockwise,Street,5.0,62,100905.44287307464,4.6,2.4,3.0,45.6,2
