,driverId,raceId,temp,Track Length (km),Turns,Direction,Circuit Type,grid,circuit_lap_count,avg_lap_time_last5,avg_position_last5,avg_stop_last5,avg_fastestRank_last5,avg_fastestLap_last5,stop
4997,846,1122,25.1,6.174,27,Anti clockwise,Street,6.0,50,98616.35985580755,4.0,2.6,4.6,43.4,1
5017,846,1123,16.7,5.278,14,Clockwise,Street,3.0,58,97700.5267129504,5.2,2.4,3.8,35.8,2
5035,846,1124,18.3,5.807,18,Clockwise,Race,3.0,53,93564.94618842396,4.8,2.2,3.6,21.8,3
5054,846,1125,17.3,5.451,16,Clockwise,Race,4.0,56,99810.59184348639,5.4,2.0,5.4,9.8,1
5074,846,1126,26.4,5.412,19,Anti clockwise,Street,5.0,57,103383.25920801843,4.8,1.8,5.0,1.0,1
5094,846,1127,18.2,4.909,19,Anti clockwise,Race,2.0,63,103020.71885714124,3.8,1.6,5.0,11.8,1
5110,846,1128,17.9,3.337,19,Clockwise,Street,4.0,78,99737.73771428409,2.6,1.6,5.4,22.4,1
5130,846,1129,16.6,4.361,13,Clockwise,Street,3.0,70,105135.15442515942,2.8,1.4,5.0,27.75,2
5149,846,1130,21.3,4.657,14,Clockwise,Race,1.0,66,97270.84703971467,2.2,1.2,3.6,44.25,2
5169,846,1131,23.1,4.318,10,Clockwise,Race,2.0,71,91673.41165010427,2.2,1.4,3.0,56.75,2
5188,846,1132,13.0,5.891,18,Clockwise,Race,3.0,52,86898.08347027973,6.0,1.6,2.6,56.25,2
5208,846,1133,24.6,4.381,14,Clockwise,Race,1.0,70,89681.31753621378,6.2,1.8,2.2,53.5,2
5228,846,1134,15.8,7.004,19,Clockwise,Race,4.0,44,84431.05599775225,5.8,2.0,3.6,52.8,2
5247,846,1135,17.2,4.259,14,Clockwise,Race,1.0,72,88132.5388548951,6.4,2.0,3.4,45.6,1
5267,846,1136,12.4,5.793,11,Clockwise,Race,1.0,53,87190.9623397436,6.2,1.8,3.4,49.8,2
5285,846,1137,22.4,6.003,20,Anti clockwise,Street,15.0,51,89775.54123125302,2.8,1.8,3.0,49.8,1
5306,846,1138,30.2,4.94,19,Anti clockwise,Street,1.0,62,92735.63881798003,3.0,1.6,2.4,49.6,1
5324,846,1139,22.5,5.513,20,Anti clockwise,Race,1.0,56,95448.26139862518,2.8,1.4,1.4,49.2,1
5343,846,1140,15.4,4.304,17,Clockwise,Race,3.0,71,94045.16497005375,2.6,1.2,1.8,54.0,1
5359,846,1141,20.0,4.309,15,Anti clockwise,Race,1.0,69,95990.56837380963,2.8,1.2,2.4,53.2,2
5379,846,1142,14.6,6.201,17,Anti clockwise,Street,6.0,50,101220.69065983643,3.4,1.2,2.6,56.0,3
5398,846,1143,20.8,5.419,16,Clockwise,Race,3.0,57,99081.83215003248,3.8,1.6,2.6,57.6,4
5415,846,1144,25.3,5.281,16,Anti clockwise,Race,1.0,58,98859.46220096629,5.6,2.2,2.4,59.2,1
5432,846,1145,13.4,5.278,14,Clockwise,Street,1.0,57,96320.95862953771,5.0,2.2,2.2,58.6,5
5449,846,1146,19.7,5.451,16,Clockwise,Race,3.0,56,100744.9170678871,4.8,3.0,1.6,53.6,1
5469,846,1147,12.4,5.807,18,Clockwise,Race,2.0,53,98100.22214035087,4.0,2.8,1.4,50.8,1
5489,846,1148,26.7,5.412,15,Clockwise,Race,6.0,57,96820.56463091692,3.2,2.4,2.2,51.0,2
5508,846,1149,30.4,6.174,27,Anti clockwise,Street,10.0,50,97713.97866600464,1.8,2.0,2.6,47.4,1
5527,846,1150,24.9,5.412,19,Anti clockwise,Street,2.0,57,99309.89466600463,2.4,2.0,2.2,45.2,1
5545,846,1151,17.4,4.909,19,Anti clockwise,Race,4.0,63,96537.65957828534,2.6,1.2,2.2,43.8,2
5565,846,1152,17.8,3.337,19,Clockwise,Street,1.0,78,94478.73021320598,2.6,1.4,2.8,45.8,2
5584,846,1153,23.3,4.657,14,Clockwise,Race,2.0,66,91352.36403033223,2.4,1.6,2.0,51.2,3
5604,846,1154,16.4,4.361,13,Clockwise,Street,7.0,70,88065.52160608981,2.2,1.8,1.8,55.8,2
5622,846,1155,23.3,4.318,10,Clockwise,Race,1.0,70,83826.76621215043,5.0,2.0,2.0,60.6,2
5641,846,1156,16.4,5.891,18,Clockwise,Race,3.0,52,79468.03493395493,4.8,2.2,2.2,65.6,2
5658,846,1157,15.5,7.004,19,Clockwise,Race,1.0,44,84455.0489144189,4.6,2.2,1.8,62.6,1
5678,846,1158,20.3,4.381,14,Clockwise,Race,3.0,70,92283.72933399933,4.8,2.0,2.2,55.4,1
5697,846,1159,19.1,4.259,14,Clockwise,Race,2.0,72,91721.47937728938,4.6,1.6,2.8,54.6,2
5716,846,1160,13.6,5.793,11,Clockwise,Race,2.0,53,92607.94064622877,4.6,1.6,2.8,53.4,1
5736,846,1161,17.5,6.003,20,Anti clockwise,Street,7.0,51,94935.67708827728,4.8,1.4,2.6,51.8,1
5755,846,1162,29.0,4.94,19,Anti clockwise,Street,5.0,62,94610.67972779463,6.0,1.2,3.8,50.6,1
5774,846,1163,23.5,5.513,20,Anti clockwise,Race,2.0,56,90757.16506503805,6.2,1.2,4.6,49.4,1
5793,846,1164,19.0,4.304,17,Clockwise,Race,1.0,71,94582.6479221809,6.4,1.2,4.0,45.0,1
5812,846,1165,16.4,4.309,15,Anti clockwise,Race,1.0,71,94990.4894274626,3.0,1.0,5.2,42.2,2
5869,846,1168,24.5,5.281,16,Anti clockwise,Race,2.0,58,89741.88856366268,5.4,1.4,6.2,44.8,2
3107,847,1010,20.1,5.278,14,Clockwise,Street,19.0,58,86962.53927600692,6.25,1.5,5.75,45.5,2
3127,847,1011,25.2,5.412,15,Clockwise,Race,19.0,57,89374.96451494051,10.0,1.75,8.25,50.25,2
3147,847,1012,14.8,5.451,16,Clockwise,Race,17.0,56,95472.97061403509,13.5,1.75,12.5,45.0,2
3166,847,1013,15.0,6.003,20,Anti clockwise,Street,16.0,51,96725.52339181287,12.75,2.0,12.75,46.5,2
3186,847,1014,17.2,4.657,14,Clockwise,Race,19.0,66,102544.55328798186,15.5,2.0,15.25,40.5,2
3206,847,1015,17.6,3.337,19,Clockwise,Street,19.0,78,99913.26724577011,15.8,2.0,15.6,45.2,1
3225,847,1016,20.4,4.361,13,Clockwise,Street,18.0,70,97618.17406395191,15.6,1.8,15.8,49.4,1
3245,847,1018,23.3,4.318,10,Clockwise,Race,0.0,71,93067.71881185108,15.8,1.6,15.4,58.2,1
3264,847,1019,15.2,5.891,18,Clockwise,Race,19.0,52,86821.55311136799,16.2,1.4,17.4,58.4,1
3283,847,1020,20.7,4.574,17,Clockwise,Race,17.0,64,83418.5170169302,16.0,1.2,17.4,60.0,5
3303,847,1021,19.8,4.381,14,Clockwise,Race,15.0,70,85221.13927654558,14.8,1.8,14.6,59.2,1
3322,847,1022,14.6,7.004,19,Clockwise,Race,14.0,44,85978.9906516411,15.0,1.8,14.4,57.2,1
3342,847,1023,6.9,5.793,11,Clockwise,Race,14.0,53,93619.35645191469,14.8,1.8,13.8,52.4,1
3362,847,1024,29.5,4.94,19,Anti clockwise,Street,18.0,61,96873.85762248325,14.0,1.8,13.2,52.2,1
3381,847,1025,17.4,5.848,18,Clockwise,Road,17.0,53,99933.83801464012,15.2,1.8,14.0,48.0,1
3400,847,1026,17.5,5.807,18,Clockwise,Race,18.0,52,102016.5689174179,16.4,1.0,17.0,39.6,1
3419,847,1027,17.4,4.304,17,Clockwise,Race,19.0,71,104680.41915271201,16.4,1.0,17.2,31.8,1
3438,847,1028,13.9,5.513,20,Anti clockwise,Race,18.0,56,98132.50058176492,16.6,1.0,17.8,38.8,2
3458,847,1029,18.8,4.309,15,Anti clockwise,Race,18.0,71,101521.50585242019,17.2,1.2,18.0,39.4,3
3477,847,1030,24.1,5.281,16,Anti clockwise,Race,18.0,55,95107.10452681953,15.6,1.6,17.8,45.0,1
3494,847,1032,15.2,4.318,10,Clockwise,Race,11.0,71,94616.34526756027,15.6,1.6,16.8,51.4,1
3514,847,1033,17.5,4.381,14,Clockwise,Race,12.0,70,89414.43326756028,15.6,1.6,16.4,53.2,3
3531,847,1034,16.9,5.891,18,Clockwise,Race,20.0,52,89390.5173255313,16.0,2.0,14.8,52.8,1
3551,847,1035,19.1,5.891,18,Clockwise,Race,15.0,52,88947.09667026062,15.0,1.8,14.6,50.2,3
3571,847,1036,26.2,4.657,14,Clockwise,Race,18.0,66,92027.1293684103,16.2,1.8,14.2,48.8,2
3607,847,1038,13.7,5.793,11,Clockwise,Race,19.0,53,87938.46777296872,16.2,2.0,14.6,46.2,2
3625,847,1040,23.4,5.848,18,Clockwise,Road,13.0,53,97911.82248994985,15.8,2.2,13.2,46.8,3
3644,847,1041,7.4,5.148,15,Clockwise,Race,17.0,60,102969.99233387403,15.8,2.2,12.2,43.8,1
3664,847,1042,17.9,4.653,15,Clockwise,Race,14.0,66,102081.56669284841,17.4,2.2,13.0,36.8,1
3684,847,1044,11.7,5.338,14,Anti clockwise,Race,0.0,58,99988.31215287857,16.6,1.8,12.2,39.2,2
3703,847,1045,23.2,5.412,15,Clockwise,Race,14.0,57,104691.22891401217,16.4,1.8,12.0,42.0,3
3719,847,1046,21.9,5.412,15,Clockwise,Race,2.0,87,105982.18133988818,16.0,2.0,13.6,43.6,4
3739,847,1047,22.3,5.281,16,Anti clockwise,Race,16.0,55,96602.86546897748,14.2,2.2,13.0,49.2,1
3758,847,1051,25.6,5.419,16,Clockwise,Race,15.0,57,98538.01917268118,13.2,2.2,13.0,58.8,2
